Date,Clicks,Impressions,CTR,Position
2025-12-31,0,0,,
2026-01-01,0,0,,
2026-01-02,0,0,,
2026-01-03,0,2,0%,2
2026-01-04,1,12,8.33%,2
2026-01-05,0,2,0%,5.5
2026-01-06,1,2,50%,3
2026-01-07,0,4,0%,4.5
2026-01-08,0,3,0%,6.7
2026-01-09,0,40,0%,7.6
2026-01-10,0,82,0%,7.8
2026-01-11,3,58,5.17%,15.5
2026-01-12,5,981,0.51%,11.1
2026-01-13,4,2900,0.14%,13
2026-01-14,4,3111,0.13%,13.3
2026-01-15,9,3627,0.25%,12.5
2026-01-16,6,3563,0.17%,21.7
2026-01-17,1,2507,0.04%,21.9
2026-01-18,2,3143,0.06%,23.9
2026-01-19,7,4820,0.15%,21.9
2026-01-20,7,5570,0.13%,21.2
2026-01-21,12,5413,0.22%,23.3
2026-01-22,8,5642,0.14%,18.3
2026-01-23,4,4546,0.09%,19.5
2026-01-24,3,5210,0.06%,16.6
2026-01-25,1,4664,0.02%,20.4
2026-01-26,5,6376,0.08%,18.7
2026-01-27,9,5739,0.16%,23.7